frame,x1,y1,x2,y2,confidence,class
10,716,343,753,397,0.8933,player
10,297,514,326,579,0.8743,player
10,922,200,952,248,0.8646,player
10,893,156,921,205,0.8642,player
10,749,390,785,452,0.5295,player
11,290,781,346,856,0.9321,player
11,997,146,1034,191,0.9237,player
11,1309,809,1344,888,0.9228,player
11,1126,350,1165,408,0.9221,player
11,854,574,898,640,0.9216,player
11,1702,322,1745,385,0.9214,player
11,1667,463,1703,524,0.9213,player
11,814,242,853,295,0.9188,player
11,555,95,582,141,0.9154,player
11,424,200,459,261,0.9121,player
11,286,425,318,491,0.9119,player
11,338,366,390,422,0.9052,player
11,1120,481,1147,543,0.8986,player
11,745,392,785,450,0.8966,player
11,1481,226,1510,274,0.8935,player
11,718,343,753,399,0.8925,player
11,298,513,326,579,0.8847,player
11,946,267,966,327,0.8737,player
11,892,157,917,204,0.8674,player
11,842,148,890,188,0.8629,player
11,921,200,948,248,0.8523,player
12,422,200,462,257,0.9258,player
12,289,779,343,852,0.9256,player
12,854,571,898,639,0.9244,player
12,807,242,853,292,0.9195,player
12,287,424,320,487,0.9167,player
12,1669,464,1702,524,0.9156,player
12,995,145,1032,192,0.9152,player
12,1703,323,1746,386,0.9144,player
12,1129,351,1163,408,0.9136,player
12,554,95,580,140,0.9115,player
12,1314,809,1342,886,0.9108,player
12,298,513,327,578,0.9068,player
12,337,365,389,415,0.905,player
12,1482,226,1509,273,0.895,player
12,717,344,746,398,0.8896,player
12,919,198,944,247,0.8874,player
12,946,267,970,327,0.8818,player
12,1116,481,1142,543,0.8811,player
12,845,148,882,188,0.8752,player
12,889,155,918,200,0.862,player
12,748,393,779,452,0.8021,player
13,846,573,899,638,0.9241,player
13,943,265,975,327,0.9232,player
13,420,200,462,256,0.9189,player
13,289,779,333,852,0.917,player
13,807,243,846,295,0.917,player
13,554,95,582,139,0.9151,player
13,918,199,946,247,0.9147,player
13,288,424,319,484,0.9129,player
13,1670,464,1699,525,0.9103,player
13,296,512,331,577,0.9086,player
13,336,364,386,415,0.9072,player
13,1132,353,1160,409,0.9028,player
13,1483,226,1510,275,0.9019,player
13,845,150,879,190,0.9008,player
13,1707,325,1743,388,0.8993,player
13,993,146,1028,194,0.8982,player
13,1315,808,1339,885,0.898,player
13,1115,482,1140,543,0.8867,player
13,716,343,740,398,0.8841,player
13,887,155,920,203,0.8806,player
13,748,394,770,451,0.8176,player
13,467,68,501,118,0.3947,player
14,943,266,979,327,0.9209,player
14,841,149,866,191,0.9196,player
14,293,510,334,576,0.9193,player
14,554,94,585,143,0.9191,player
14,286,777,323,852,0.9178,player
14,1485,226,1514,275,0.9149,player
