player_id,frame,view,x1,y1,x2,y2
155,10,tacticam,1116,480,1153,544
155,10,tacticam,1124,348,1165,406
174,10,tacticam,1306,811,1346,888
174,8,broadcast,1540,718,1613,839
175,10,tacticam,1663,461,1703,524
175,8,broadcast,613,752,676,877
176,10,tacticam,816,242,851,295
176,8,broadcast,1244,463,1295,558
177,10,tacticam,999,146,1034,194
177,10,broadcast,1255,466,1317,559
178,10,tacticam,341,368,387,422
179,10,tacticam,1704,322,1744,386
179,8,broadcast,613,752,676,877
180,10,tacticam,857,576,896,640
180,8,broadcast,1662,450,1701,531
181,10,tacticam,558,95,585,141
181,8,broadcast,1662,450,1701,531
181,10,tacticam,284,429,317,495
182,10,tacticam,855,148,891,188
182,10,broadcast,1661,452,1711,536
183,10,tacticam,426,203,456,262
183,8,broadcast,1244,463,1295,558
184,10,tacticam,945,268,963,327
185,10,tacticam,1480,226,1512,273
185,8,broadcast,1540,718,1613,839
155,10,tacticam,716,343,753,397
186,10,tacticam,297,514,326,579
187,10,tacticam,922,200,952,248
187,11,broadcast,1592,566,1647,670
188,10,tacticam,893,156,921,205
188,12,broadcast,1557,495,1610,585
189,10,tacticam,749,390,785,452
190,11,tacticam,290,781,346,856
190,9,broadcast,616,752,668,880
155,11,tacticam,997,146,1034,191
191,11,tacticam,1309,809,1344,888
191,11,broadcast,1499,433,1547,519
188,11,tacticam,1126,350,1165,408
192,11,tacticam,854,574,898,640
192,9,broadcast,1536,721,1642,845
193,11,tacticam,1702,322,1745,385
193,9,broadcast,1664,452,1699,534
194,11,tacticam,1667,463,1703,524
194,9,broadcast,1664,452,1699,534
177,11,tacticam,814,242,853,295
195,11,tacticam,555,95,582,141
195,10,broadcast,1661,452,1711,536
155,11,tacticam,424,200,459,261
196,11,tacticam,286,425,318,491
196,9,broadcast,616,752,668,880
197,11,tacticam,338,366,390,422
198,11,tacticam,1120,481,1147,543
198,9,broadcast,1563,497,1601,588
172,11,tacticam,745,392,785,450
195,11,tacticam,1481,226,1510,274
